Fund Holdings as of,"17/Oct/2018"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Country,Market Currency
"CAPC","CAPITAL & COUNTIES PROPERTIES PLC","Equity","0.53","2.40","290,750.00","698,381.50","698,381.50","Real Estate","GB00B62G9D36","London Stock Exchange","United Kingdom","GBP"
"JD.","JD SPORTS FASHION PLC","Equity","0.52","3.93","176,804.00","694,839.72","694,839.72","Consumer Discretionary","GB00BYX91H57","London Stock Exchange","United Kingdom","GBP"
"AVV","AVEVA GROUP PLC","Equity","0.52","26.60","26,071.00","693,488.60","693,488.60","Information Technology","GB00BBG9VN75","London Stock Exchange","United Kingdom","GBP"
"GFTU","GRAFTON GROUP UNITS PLC","Equity","0.52","7.16","95,629.00","684,703.64","684,703.64","Industrials","IE00B00MZ448","London Stock Exchange","United Kingdom","GBP"
"BTG","BTG PLC","Equity","0.52","5.46","125,022.00","682,620.12","682,620.12","Health Care","GB0001001592","London Stock Exchange","United Kingdom","GBP"
"PAGE","PAGEGROUP PLC","Equity","0.51","5.20","130,856.00","680,451.20","680,451.20","Industrials","GB0030232317","London Stock Exchange","United Kingdom","GBP"
"BOO","BOOHOO GROUP PLC","Equity","0.50","2.17","302,615.00","657,885.01","657,885.01","Consumer Discretionary","JE00BG6L7297","London Stock Exchange","United Kingdom","GBP"
"SOPH","SOPHOS GROUP PLC","Equity","0.49","4.92","132,130.00","650,079.60","650,079.60","Information Technology","GB00BYZFZ918","London Stock Exchange","United Kingdom","GBP"
"DRX","DRAX GROUP PLC","Equity","0.49","4.04","159,791.00","644,916.48","644,916.48","Utilities","GB00B1VNSX38","London Stock Exchange","United Kingdom","GBP"
"BOY","BODYCOTE PLC","Equity","0.49","8.35","77,130.00","644,035.50","644,035.50","Industrials","GB00B3FLWH99","London Stock Exchange","United Kingdom","GBP"
"ETO","ENTERTAINMENT ONE LTD","Equity","0.49","4.40","146,058.00","643,239.43","643,239.43","Communication","CA29382B1022","London Stock Exchange","United Kingdom","GBP"
"QQ.","QINETIQ GROUP PLC","Equity","0.49","2.79","230,335.00","642,864.98","642,864.98","Industrials","GB00B0WMWD03","London Stock Exchange","United Kingdom","GBP"
"INTU","INTU PROPERTIES REIT PLC","Equity","0.48","1.80","356,038.00","642,292.55","642,292.55","Real Estate","GB0006834344","London Stock Exchange","United Kingdom","GBP"
"DC.","DIXONS CARPHONE PLC","Equity","0.48","1.62","396,532.00","640,993.98","640,993.98","Consumer Discretionary","GB00B4Y7R145","London Stock Exchange","United Kingdom","GBP"
