Fund Holdings as of,"17/Oct/2018"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Country,Market Currency
"PHIA","KONINKLIJKE PHILIPS NV","Equity","0.88","35.84","385,693","13,825,166","13,825,165.58","Health Care","NL0000009538","Euronext Amsterdam","Netherlands","EUR"
"TEF","TELEFONICA SA","Equity","0.85","6.95","1,916,550","13,320,023","13,320,022.50","Communication","ES0178430E18","Bolsa De Madrid","Spain","EUR"
"AMS","AMADEUS IT GROUP SA","Equity","0.83","72.66","179,849","13,067,828","13,067,828.34","Information Technology","ES0109067019","Bolsa De Madrid","Spain","EUR"
"ISP","INTESA SANPAOLO","Equity","0.80","2.05","6,104,063","12,491,965","12,491,964.93","Financials","IT0000072618","Borsa Italiana","Italy","EUR"
"DPW","DEUTSCHE POST AG","Equity","0.74","28.95","403,451","11,679,906","11,679,906.45","Industrials","DE0005552004","Xetra","Germany","EUR"
"KER","KERING SA","Equity","0.74","378.30","30,859","11,673,960","11,673,959.70","Consumer Discretionary","FR0000121485","Nyse Euronext - Euronext Paris","France","EUR"
"MUV2","MUENCHENER RUECKVERSICHERUNGS-GESE","Equity","0.72","185.80","60,976","11,329,341","11,329,340.80","Financials","DE0008430026","Xetra","Germany","EUR"
"RI","PERNOD RICARD SA","Equity","0.71","129.90","86,205","11,198,030","11,198,029.50","Consumer Staples","FR0000120693","Nyse Euronext - Euronext Paris","France","EUR"
"ORA","ORANGE SA","Equity","0.71","13.80","810,270","11,177,675","11,177,674.65","Communication","FR0000133308","Nyse Euronext - Euronext Paris","France","EUR"
"VOW3","VOLKSWAGEN NON-VOTING PREF AG","Equity","0.71","147.10","75,328","11,080,749","11,080,748.80","Consumer Discretionary","DE0007664039","Xetra","Germany","EUR"
"ITX","INDUSTRIA DE DISENO TEXTIL INDITEX","Equity","0.71","24.71","447,737","11,063,581","11,063,581.27","Consumer Discretionary","ES0148396007","Bolsa De Madrid","Spain","EUR"
