Fund Holdings as of,"17/Oct/2018"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Country,Market Currency
"EL","ESSILORLUXOTTICA SA","Equity","0.32","115.65","119,861.00","13,861,924.65","13,861,924.65","Health Care","FR0000121667","Nyse Euronext - Euronext Paris","France","EUR"
"NXPI","NXP SEMICONDUCTORS NV","Equity","0.32","69.27","198,665.00","13,762,412.55","13,762,412.55","Information Technology","NL0009538784","NASDAQ","Netherlands","USD"
"TSCO","TESCO PLC","Equity","0.31","2.38","5,694,755.00","13,545,407.57","13,545,407.57","Consumer Staples","GB0008847096","London Stock Exchange","United Kingdom","GBP"
"BT.A","BT GROUP PLC","Equity","0.31","2.75","4,867,271.00","13,395,810.52","13,395,810.52","Communication","GB0030913577","London Stock Exchange","United Kingdom","GBP"
"ERIC B","ERICSSON B","Equity","0.31","7.56","1,756,149.00","13,271,665.17","13,271,665.17","Information Technology","SE0000108656","Nasdaq Omx Nordic","Sweden","SEK"
"VIV","VIVENDI SA","Equity","0.30","21.85","599,424.00","13,097,414.40","13,097,414.40","Communication","FR0000127771","Nyse Euronext - Euronext Paris","France","EUR"
"URW","WFD UNIBAIL RODAMCO STAPLED UNITS","Equity","0.30","161.96","80,454.00","13,030,329.84","13,030,329.84","Real Estate","FR0013326246","Euronext Amsterdam","France","EUR"
"CRG","CRH PLC","Equity","0.30","26.40","489,867.00","12,932,488.80","12,932,488.80","Materials","IE0001827041","Irish Stock Exchange - All Market","Ireland","EUR"
"REP","REPSOL SA","Equity","0.30","16.28","787,337.00","12,817,846.36","12,817,846.36","Energy","ES0173516115","Bolsa De Madrid","Spain","EUR"
"IFX","INFINEON TECHNOLOGIES AG","Equity","0.29","19.02","660,750.00","12,564,161.25","12,564,161.25","Information Technology","DE0006231004","Xetra","Germany","EUR"
"ENGI","ENGIE SA","Equity","0.28","11.75","1,053,300.00","12,376,275.00","12,376,275.00","Utilities","FR0010208488","Nyse Euronext - Euronext Paris","France","EUR"
"DB1","DEUTSCHE BOERSE AG","Equity","0.28","110.35","111,025.00","12,251,608.75","12,251,608.75","Financials","DE0005810055","Xetra","Germany","EUR"
"LONN","LONZA GROUP AG","Equity","0.28","285.40","42,739.00","12,197,692.18","12,197,692.18","Health Care","CH0013841017","Six Swiss Exchange Ag","Switzerland","CHF"
"VOLVB","VOLVO CLASS B","Equity","0.28","13.19","906,402.00","11,952,216.00","11,952,216.00","Industrials","SE0000115446","Nasdaq Omx Nordic","Sweden","SEK"
"WDI","WIRECARD AG","Equity","0.27","177.00","67,242.00","11,901,834.00","11,901,834.00","Information Technology","DE0007472060","Xetra","Germany","EUR"
"BA.","BAE SYSTEMS PLC","Equity","0.27","6.38","1,828,637.00","11,665,465.35","11,665,465.35","Industrials","GB0002634946","London Stock Exchange","United Kingdom","GBP"
"AAL","ANGLO AMERICAN PLC","Equity","0.27","19.10","609,078.00","11,634,312.28","11,634,312.28","Materials","GB00B1XZS820","London Stock Exchange","United Kingdom","GBP"
"HEIA","HEINEKEN NV","Equity","0.26","76.76","149,418.00","11,469,325.68","11,469,325.68","Consumer Staples","NL0000009165","Euronext Amsterdam","Netherlands","EUR"
"AV.","AVIVA PLC","Equity","0.26","4.86","2,349,256.00","11,411,272.57","11,411,272.57","Financials","GB0002162385","London Stock Exchange","United Kingdom","GBP"
"VNA","VONOVIA SE","Equity","0.26","40.68","278,238.00","11,318,721.84","11,318,721.84","Real Estate","DE000A1ML7J1","Xetra","Germany","EUR"
"LHN","LAFARGEHOLCIM LTD","Equity","0.26","39.63","280,702.00","11,123,973.13","11,123,973.13","Materials","CH0012214059","Six Swiss Exchange Ag","Switzerland","CHF"
"DBK","DEUTSCHE BANK AG","Equity","0.26","9.78","1,135,118.00","11,102,589.16","11,102,589.16","Financials","DE0005140008","Xetra","Germany","EUR"
