iShares Core MSCI Europe ETF
Inception Date,"Jun 10, 2014"
Fund Holdings as of,"Oct 17, 2018"
Total Net Assets,"2,529,435,894.14"
Shares Outstanding,"55,900,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
"SU","SCHNEIDER ELECTRIC","Equity","0.40","72.59","138,423.00","10,048,088.47","10,048,088.47","Industrials","4834108","FR0000121972","Nyse Euronext - Euronext Paris","France","USD","EUR","0.87"
"CFR","COMPAGNIE FINANCIERE RICHEMONT SA","Equity","0.39","72.86","134,497.00","9,799,831.79","9,799,831.79","Consumer Discretionary","BCRWZ18","CH0210483332","Six Swiss Exchange Ag","Switzerland","USD","CHF","0.99"
"PHIA","KONINKLIJKE PHILIPS NV","Equity","0.38","41.33","235,566.00","9,735,352.16","9,735,352.16","Health Care","5986622","NL0000009538","Euronext Amsterdam","Netherlands","USD","EUR","0.87"
"ABBN","ABB LTD","Equity","0.38","21.33","456,259.00","9,731,502.73","9,731,502.73","Industrials","7108899","CH0012221716","Six Swiss Exchange Ag","Switzerland","USD","CHF","0.99"
"AMS","AMADEUS IT GROUP SA","Equity","0.37","83.77","111,848.00","9,369,881.32","9,369,881.32","Information Technology","B3MSM28","ES0109067019","Bolsa De Madrid","Spain","USD","EUR","0.87"
"TEF","TELEFONICA SA","Equity","0.37","8.01","1,164,482.00","9,330,997.18","9,330,997.18","Communication","5732524","ES0178430E18","Bolsa De Madrid","Spain","USD","EUR","0.87"
"BARC","BARCLAYS PLC","Equity","0.37","2.17","4,306,372.00","9,330,119.43","9,330,119.43","Financials","3134865","GB0031348658","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"ISP","INTESA SANPAOLO","Equity","0.35","2.36","3,776,171.00","8,909,921.45","8,909,921.45","Financials","4076836","IT0000072618","Borsa Italiana","Italy","USD","EUR","0.87"
"CSGN","CREDIT SUISSE GROUP AG","Equity","0.35","13.55","654,725.00","8,872,148.76","8,872,148.76","Financials","7171589","CH0012138530","Six Swiss Exchange Ag","Switzerland","USD","CHF","0.99"
"NG.","NATIONAL GRID PLC","Equity","0.35","10.70","827,052.00","8,845,334.54","8,845,334.54","Utilities","BDR05C0","GB00BDR05C01","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"GBP","GBP CASH","Cash","0.34","131.34","6,463,224.00","8,488,798.31","8,488,798.31","Cash and/or Derivatives","-","-","-","United Kingdom","USD","GBP","0.76"
"KER","KERING SA","Equity","0.33","436.16","19,184.00","8,367,312.34","8,367,312.34","Consumer Discretionary","5505072","FR0000121485","Nyse Euronext - Euronext Paris","France","USD","EUR","0.87"
"DPW","DEUTSCHE POST AG","Equity","0.33","33.38","250,548.00","8,362,766.72","8,362,766.72","Industrials","4617859","DE0005552004","Xetra","Germany","USD","EUR","0.87"
"MUV2","MUENCHENER RUECKVERSICHERUNGS-GESE","Equity","0.32","214.22","38,281.00","8,200,483.47","8,200,483.47","Financials","5294121","DE0008430026","Xetra","Germany","USD","EUR","0.87"
"EQNR","EQUINOR","Equity","0.32","27.14","301,937.00","8,195,120.07","8,195,120.07","Energy","7133608","NO0010096985","Oslo Bors Asa","Norway","USD","NOK","8.21"
"IMB","IMPERIAL BRANDS PLC","Equity","0.32","33.69","239,280.00","8,061,034.53","8,061,034.53","Consumer Staples","0454492","GB0004544929","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"VOW3","VOLKSWAGEN NON-VOTING PREF AG","Equity","0.31","169.60","46,740.00","7,927,054.69","7,927,054.69","Consumer Discretionary","5497168","DE0007664039","Xetra","Germany","USD","EUR","0.87"
"RI","PERNOD RICARD SA","Equity","0.31","149.77","52,658.00","7,886,494.14","7,886,494.14","Consumer Staples","4682329","FR0000120693","Nyse Euronext - Euronext Paris","France","USD","EUR","0.87"
"ORA","ORANGE SA","Equity","0.31","15.90","495,689.00","7,883,906.41","7,883,906.41","Communication","5176177","FR0000133308","Nyse Euronext - Euronext Paris","France","USD","EUR","0.87"
"GLE","SOCIETE GENERALE SA","Equity","0.31","40.52","193,287.00","7,832,071.92","7,832,071.92","Financials","5966516","FR0000130809","Nyse Euronext - Euronext Paris","France","USD","EUR","0.87"
"NOKIA","NOKIA","Equity","0.31","5.44","1,440,134.00","7,828,797.77","7,828,797.77","Information Technology","5902941","FI0009000681","Nasdaq Omx Helsinki Ltd.","Finland","USD","EUR","0.87"
"CPG","COMPASS GROUP PLC","Equity","0.31","19.92","391,343.00","7,797,226.73","7,797,226.73","Consumer Discretionary","BD6K457","GB00BD6K4575","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"ITX","INDUSTRIA DE DISENO TEXTIL INDITEX","Equity","0.31","28.49","271,121.00","7,724,073.13","7,724,073.13","Consumer Discretionary","BP9DL90","ES0148396007","Bolsa De Madrid","Spain","USD","EUR","0.87"
"FRE","FRESENIUS SE AND CO KGAA","Equity","0.30","72.43","106,317.00","7,700,361.59","7,700,361.59","Health Care","4352097","DE0005785604","Xetra","Germany","USD","EUR","0.87"
"NDA SE","NORDEA BANK","Equity","0.29","9.55","760,103.00","7,255,451.45","7,255,451.45","Financials","BYZF9J9","FI4000297767","Nasdaq Omx Nordic","Sweden","USD","SEK","8.95"
"AD","KONINKLIJKE AHOLD DELHAIZE NV","Equity","0.29","22.46","322,961.00","7,254,276.31","7,254,276.31","Consumer Staples","BD0Q398","NL0011794037","Euronext Amsterdam","Netherlands","USD","EUR","0.87"
"UCG","UNICREDIT","Equity","0.28","13.90","510,721.00","7,096,648.78","7,096,648.78","Financials","BYMXPS7","IT0005239360","Borsa Italiana","Italy","USD","EUR","0.87"
