iShares MSCI Hong Kong ETF
Inception Date,"Mar 12, 1996"
Fund Holdings as of,"Oct 16, 2018"
Total Net Assets,"2,338,173,674.28"
Shares Outstanding,"106,125,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
"683","KERRY PROPERTIES LTD","Equity","0.45","3.20","3,262,000.00","10,426,911.67","10,426,911.67","Real Estate","6486314","BMG524401079","Hong Kong Exchanges And Clearing Ltd","Hong Kong","USD","HKD","7.84"
"551","YUE YUEN INDUSTRIAL (HOLDINGS) LTD","Equity","0.42","2.66","3,709,500.00","9,869,279.36","9,869,279.36","Consumer Discretionary","6586537","BMG988031446","Hong Kong Exchanges And Clearing Ltd","Hong Kong","USD","HKD","7.84"
"69","SHANGRI LA ASIA LTD","Equity","0.37","1.37","6,300,000.00","8,650,014.36","8,650,014.36","Consumer Discretionary","6771032","BMG8063F1068","Hong Kong Exchanges And Clearing Ltd","Hong Kong","USD","HKD","7.84"
"880","SJM HLDGS LTD","Equity","0.36","0.85","9,909,000.00","8,446,373.82","8,446,373.82","Consumer Discretionary","B2NR3Y6","HK0880043028","Hong Kong Exchanges And Clearing Ltd","Hong Kong","USD","HKD","7.84"
"2282","MGM CHINA HOLDINGS LTD","Equity","0.32","1.58","4,747,488.00","7,487,664.11","7,487,664.11","Consumer Discretionary","B4P8HQ1","KYG607441022","Hong Kong Exchanges And Clearing Ltd","Hong Kong","USD","HKD","7.84"
"HKD","HKD CASH","Cash","0.28","12.76","51,835,940.00","6,614,468.97","6,614,468.97","Cash and/or Derivatives","-","-","-","Hong Kong","USD","HKD","7.84"
"494","LI & FUNG LTD","Equity","0.28","0.20","32,382,000.00","6,446,029.29","6,446,029.29","Consumer Discretionary","6286257","BMG5485F1692","Hong Kong Exchanges And Clearing Ltd","Hong Kong","USD","HKD","7.84"
"BLKFDS","BLK CSH FND TREASURY SL AGENCY","Money Market","0.05","1.00","1,079,417.00","1,079,417.29","1,079,417.29","Cash and/or Derivatives","-","US0669224778","-","United States","USD","USD","1.00"
"UBFUT","CASH COLLATERAL HKD UBFUT","Cash Collateral and Margins","0.02","12.76","4,538,600.00","579,143.14","579,143.14","Cash and/or Derivatives","-","-","-","Hong Kong","USD","HKD","7.84"
"HIV8","HANG SENG INDEX OCT 18","Futures","0.00","3,239.48","41.00","0.00","6,640,935.34","Cash and/or Derivatives","-","-","Hong Kong Futures Exchange Ltd.","-","USD","HKD","7.84"
"USD","USD CASH","Cash","-0.03","100.00","-681,337.00","-681,336.65","-681,336.65","Cash and/or Derivatives","-","-","-","United States","USD","USD","1.00"
 
