Fund Holdings as of,"17/Oct/2018"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Country,Market Currency
"BRBY","BURBERRY GROUP PLC","Equity","0.53","19.67","154,106.00","3,031,785.17","3,031,785.17","Consumer Discretionary","GB0031743007","London Stock Exchange","United Kingdom","GBP"
"AGS","AGEAS NV","Equity","0.52","44.53","67,602.00","3,010,317.06","3,010,317.06","Financials","BE0974264930","Nyse Euronext - Euronext Brussels","Belgium","EUR"
"SW","SODEXO SA","Equity","0.51","87.80","33,376.00","2,930,412.80","2,930,412.80","Consumer Discretionary","FR0000121220","Nyse Euronext - Euronext Paris","France","EUR"
"KPN","KONINKLIJKE KPN NV NV","Equity","0.51","2.37","1,232,255.00","2,922,908.86","2,922,908.86","Communication","NL0000009082","Euronext Amsterdam","Netherlands","EUR"
"GALP","GALP ENERGIA SGPS SA","Equity","0.51","15.63","186,735.00","2,918,668.05","2,918,668.05","Energy","PTGAL0AM0009","Nyse Euronext - Euronext Lisbon","Portugal","EUR"
"PSN","PERSIMMON PLC","Equity","0.50","25.04","115,198.00","2,884,424.43","2,884,424.43","Consumer Discretionary","GB0006825383","London Stock Exchange","United Kingdom","GBP"
"AC","ACCOR SA","Equity","0.50","41.62","69,291.00","2,883,891.42","2,883,891.42","Consumer Discretionary","FR0000120404","Nyse Euronext - Euronext Paris","France","EUR"
"STERV","STORA ENSO CLASS R","Equity","0.50","14.03","205,475.00","2,882,814.25","2,882,814.25","Materials","FI0009005961","Nasdaq Omx Helsinki Ltd.","Finland","EUR"
"MNDI","MONDI PLC","Equity","0.50","21.13","136,352.00","2,880,546.49","2,880,546.49","Materials","GB00B1CRLC47","London Stock Exchange","United Kingdom","GBP"
"SOLB","SOLVAY SA","Equity","0.50","105.70","27,165.00","2,871,340.50","2,871,340.50","Materials","BE0003470755","Nyse Euronext - Euronext Brussels","Belgium","EUR"
"SOON","SONOVA HOLDING AG","Equity","0.50","139.07","20,611.00","2,866,439.89","2,866,439.89","Health Care","CH0012549785","Six Swiss Exchange Ag","Switzerland","CHF"
"FR","VALEO SA","Equity","0.49","31.88","88,851.00","2,832,569.88","2,832,569.88","Consumer Discretionary","FR0013176526","Nyse Euronext - Euronext Paris","France","EUR"
"SESG","SES SA FDR SA","Equity","0.49","20.64","135,235.00","2,791,250.40","2,791,250.40","Communication","LU0088087324","Nyse Euronext - Euronext Paris","France","EUR"
"EDEN","EDENRED","Equity","0.48","31.70","87,579.00","2,776,254.30","2,776,254.30","Industrials","FR0010908533","Nyse Euronext - Euronext Paris","France","EUR"
"REE","RED ELECTRICA SA","Equity","0.48","17.86","153,713.00","2,744,545.62","2,744,545.62","Utilities","ES0173093024","Bolsa De Madrid","Spain","EUR"
"DCC","DCC PLC","Equity","0.48","75.53","36,321.00","2,743,202.47","2,743,202.47","Industrials","IE0002424939","London Stock Exchange","United Kingdom","GBP"
"PSON","PEARSON PLC","Equity","0.47","9.52","287,012.00","2,731,373.33","2,731,373.33","Communication","GB0006776081","London Stock Exchange","United Kingdom","GBP"
"BNR","BRENNTAG AG","Equity","0.47","47.38","57,470.00","2,722,928.60","2,722,928.60","Industrials","DE000A1DAHH0","Xetra","Germany","EUR"
"GEN","GENMAB","Equity","0.47","119.77","22,733.00","2,722,835.44","2,722,835.44","Health Care","DK0010272202","Omx Nordic Exchange Copenhagen A/S","Denmark","DKK"
"YAR","YARA INTERNATIONAL ASA","Equity","0.47","41.12","65,995.00","2,713,744.33","2,713,744.33","Materials","NO0010208051","Oslo Bors Asa","Norway","NOK"
"SWMA","SWEDISH MATCH","Equity","0.47","41.33","65,096.00","2,690,571.93","2,690,571.93","Consumer Staples","SE0000310336","Nasdaq Omx Nordic","Sweden","SEK"
"OMV","OMV AG","Equity","0.47","49.50","54,100.00","2,677,950.00","2,677,950.00","Energy","AT0000743059","Wiener Boerse Ag","Austria","EUR"
"SGRO","SEGRO REIT PLC","Equity","0.46","7.14","374,334.00","2,673,704.17","2,673,704.17","Real Estate","GB00B5ZN1N88","London Stock Exchange","United Kingdom","GBP"
"FGR","EIFFAGE SA","Equity","0.46","90.34","29,583.00","2,672,528.22","2,672,528.22","Industrials","FR0000130452","Nyse Euronext - Euronext Paris","France","EUR"
"HNR1","HANNOVER RUECK","Equity","0.46","118.50","22,501.00","2,666,368.50","2,666,368.50","Financials","DE0008402215","Xetra","Germany","EUR"
"SAB","BANCO DE SABADELL SA","Equity","0.46","1.26","2,081,377.00","2,626,697.77","2,626,697.77","Financials","ES0113860A34","Bolsa De Madrid","Spain","EUR"
"ADEN","ADECCO GROUP AG","Equity","0.45","43.02","60,518.00","2,603,463.75","2,603,463.75","Industrials","CH0012138605","Six Swiss Exchange Ag","Switzerland","CHF"
"MCRO","MICRO FOCUS INTERNATIONAL PLC","Equity","0.45","16.17","160,656.00","2,597,878.79","2,597,878.79","Information Technology","GB00BD8YWM01","London Stock Exchange","United Kingdom","GBP"
"SGE","SAGE GROUP PLC","Equity","0.45","6.51","398,690.00","2,596,964.61","2,596,964.61","Information Technology","GB00B8C3BL03","London Stock Exchange","United Kingdom","GBP"
"LAND","LAND SECURITIES GROUP REIT PLC","Equity","0.45","9.38","275,454.00","2,584,981.32","2,584,981.32","Real Estate","GB00BYW0PQ60","London Stock Exchange","United Kingdom","GBP"
"CRDA","CRODA INTERNATIONAL PLC","Equity","0.45","52.81","48,843.00","2,579,480.78","2,579,480.78","Materials","GB00BYZWX769","London Stock Exchange","United Kingdom","GBP"
"UBI","UBISOFT ENTERTAINMENT SA CAT A","Equity","0.45","88.84","28,974.00","2,574,050.16","2,574,050.16","Communication","FR0000054470","Nyse Euronext - Euronext Paris","France","EUR"
"TEMN","TEMENOS AG","Equity","0.45","115.35","22,238.00","2,565,114.70","2,565,114.70","Information Technology","CH0012453913","Six Swiss Exchange Ag","Switzerland","CHF"
"QIA","QIAGEN NV","Equity","0.44","30.47","83,528.00","2,545,098.16","2,545,098.16","Health Care","NL0012169213","Deutsche Boerse Xetra","Germany","EUR"
"LISN","CHOCOLADEFABRIKEN LINDT & SPRUENGL","Equity","0.44","67,898.21","37.00","2,512,232.77","2,512,232.77","Consumer Staples","CH0010570759","SIX Swiss Exchange","Switzerland","CHF"
"GRF","GRIFOLS SA CLASS A","Equity","0.43","22.76","109,919.00","2,501,756.44","2,501,756.44","Health Care","ES0171996087","Bolsa De Madrid","Spain","EUR"
"JMAT","JOHNSON MATTHEY PLC","Equity","0.43","35.10","71,171.00","2,497,935.99","2,497,935.99","Materials","GB00BZ4BQC70","London Stock Exchange","United Kingdom","GBP"
"SK3","SMURFIT KAPPA GROUP PLC","Equity","0.43","29.76","83,220.00","2,476,627.20","2,476,627.20","Materials","IE00B1RR8406","Irish Stock Exchange - All Market","Ireland","EUR"
"AKE","ARKEMA","Equity","0.43","97.06","25,468.00","2,471,924.08","2,471,924.08","Materials","FR0010313833","Nyse Euronext - Euronext Paris","France","EUR"
"SCR","SCOR","Equity","0.43","40.93","60,283.00","2,467,383.19","2,467,383.19","Financials","FR0010411983","Nyse Euronext - Euronext Paris","France","EUR"
"TUI","TUI AG","Equity","0.43","15.24","161,743.00","2,465,290.75","2,465,290.75","Consumer Discretionary","DE000TUAG000","London Stock Exchange","United Kingdom","GBP"
"ALFA","ALFA LAVAL AB","Equity","0.42","22.26","109,231.00","2,432,010.17","2,432,010.17","Industrials","SE0000695876","Nasdaq Omx Nordic","Sweden","SEK"
"RRS","RANDGOLD RESOURCES LTD","Equity","0.42","69.08","35,205.00","2,431,924.45","2,431,924.45","Materials","GB00B01C3S32","London Stock Exchange","United Kingdom","GBP"
"WRT1V","WARTSILA","Equity","0.42","14.79","163,712.00","2,420,481.92","2,420,481.92","Industrials","FI0009003727","Nasdaq Omx Helsinki Ltd.","Finland","EUR"
"RSA","RSA INSURANCE GROUP PLC","Equity","0.42","6.30","381,624.00","2,404,071.33","2,404,071.33","Financials","GB00BKKMKR23","London Stock Exchange","United Kingdom","GBP"
"BOL","BOLIDEN","Equity","0.41","23.46","101,749.00","2,386,681.09","2,386,681.09","Materials","SE0011088665","Nasdaq Omx Nordic","Sweden","SEK"
"ITV","ITV PLC","Equity","0.41","1.79","1,330,441.00","2,386,298.80","2,386,298.80","Communication","GB0033986497","London Stock Exchange","United Kingdom","GBP"
"PPB","PADDY POWER BETFAIR PLC","Equity","0.41","74.90","31,579.00","2,365,267.10","2,365,267.10","Consumer Discretionary","IE00BWT6H894","Irish Stock Exchange - All Market","Ireland","EUR"
"PNDORA","PANDORA","Equity","0.41","57.31","41,125.00","2,357,029.89","2,357,029.89","Consumer Discretionary","DK0060252690","Omx Nordic Exchange Copenhagen A/S","Denmark","DKK"
"STJ","ST JAMESS PLACE PLC","Equity","0.41","12.08","194,013.00","2,342,735.37","2,342,735.37","Financials","GB0007669376","London Stock Exchange","United Kingdom","GBP"
"TRN","TERNA RETE ELETTRICA NAZIONALE","Equity","0.41","4.51","518,774.00","2,340,708.29","2,340,708.29","Utilities","IT0003242622","Borsa Italiana","Italy","EUR"
"BIRG","BANK OF IRELAND GROUP PLC","Equity","0.40","6.42","360,954.00","2,319,129.45","2,319,129.45","Financials","IE00BD1RP616","Irish Stock Exchange - All Market","Ireland","EUR"
"MRW","MORRISON(WM.)SUPERMARKETS PLC","Equity","0.40","2.80","824,399.00","2,306,024.58","2,306,024.58","Consumer Staples","GB0006043169","London Stock Exchange","United Kingdom","GBP"
"LISP","CHOCOLADEFABRIKEN LINDT & SPRUENGL","Equity","0.40","5,846.06","393.00","2,297,501.49","2,297,501.49","Consumer Staples","CH0010570767","SIX Swiss Exchange","Switzerland","CHF"
"BALN","BALOISE HOLDING LTD","Equity","0.40","127.23","18,000.00","2,290,187.36","2,290,187.36","Financials","CH0012410517","SIX Swiss Exchange","Switzerland","CHF"
"GFC","GECINA REIT SA","Equity","0.40","135.00","16,881.00","2,278,935.00","2,278,935.00","Real Estate","FR0010040865","Nyse Euronext - Euronext Paris","France","EUR"
"EPI A","EPIROC CLASS A","Equity","0.40","9.07","250,655.00","2,273,844.96","2,273,844.96","Industrials","SE0011166933","Nasdaq Omx Nordic","Sweden","SEK"
"KGF","KINGFISHER PLC","Equity","0.39","2.86","790,986.00","2,264,372.25","2,264,372.25","Consumer Discretionary","GB0033195214","London Stock Exchange","United Kingdom","GBP"
"NHY","NORSK HYDRO","Equity","0.39","4.55","494,909.00","2,252,722.37","2,252,722.37","Materials","NO0005052605","Oslo Bors Asa","Norway","NOK"
"STMN","STRAUMANN HOLDING AG","Equity","0.39","589.85","3,805.00","2,244,375.74","2,244,375.74","Health Care","CH0012280076","SIX Swiss Exchange","Switzerland","CHF"
"BLND","BRITISH LAND REIT PLC","Equity","0.39","6.52","343,438.00","2,237,849.69","2,237,849.69","Real Estate","GB0001367019","London Stock Exchange","United Kingdom","GBP"
"SBRY","SAINSBURY(J) PLC","Equity","0.39","3.42","652,547.00","2,229,332.26","2,229,332.26","Consumer Staples","GB00B019KW72","London Stock Exchange","United Kingdom","GBP"
"HL.","HARGREAVES LANSDOWN PLC","Equity","0.39","21.10","105,124.00","2,217,835.84","2,217,835.84","Financials","GB00B1VZ0M25","London Stock Exchange","United Kingdom","GBP"
"BDEV","BARRATT DEVELOPMENTS PLC","Equity","0.38","5.81","376,758.00","2,188,866.11","2,188,866.11","Consumer Discretionary","GB0000811801","London Stock Exchange","United Kingdom","GBP"
"SMIN","SMITHS GROUP PLC","Equity","0.38","14.83","147,324.00","2,184,678.96","2,184,678.96","Industrials","GB00B1WY2338","London Stock Exchange","United Kingdom","GBP"
"TW.","TAYLOR WIMPEY PLC","Equity","0.38","1.78","1,223,700.00","2,183,694.59","2,183,694.59","Consumer Discretionary","GB0008782301","London Stock Exchange","United Kingdom","GBP"
"ALO","ALSTOM SA","Equity","0.38","38.17","57,017.00","2,176,338.89","2,176,338.89","Industrials","FR0010220475","Nyse Euronext - Euronext Paris","France","EUR"
"ORK","ORKLA","Equity","0.38","7.12","303,536.00","2,160,044.05","2,160,044.05","Consumer Staples","NO0003733800","Oslo Bors Asa","Norway","NOK"
"VIFN","VIFOR PHARMA AG AG","Equity","0.37","126.32","16,982.00","2,145,082.82","2,145,082.82","Health Care","CH0364749348","Six Swiss Exchange Ag","Switzerland","CHF"
"AER","AERCAP HOLDINGS NV","Equity","0.37","46.21","46,289.00","2,139,102.23","2,139,102.23","Industrials","NL0000687663","New York Stock Exchange Inc.","Netherlands","USD"
"GVC","GVC HOLDINGS PLC","Equity","0.37","10.59","201,461.00","2,133,177.12","2,133,177.12","Consumer Discretionary","IM00B5VQMV65","London Stock Exchange","United Kingdom","GBP"
"KINV B","KINNEVIK CLASS B","Equity","0.37","24.38","87,284.00","2,127,721.25","2,127,721.25","Financials","SE0008373906","Nasdaq Omx Nordic","Sweden","SEK"
"SKF B","SKF B","Equity","0.37","15.14","139,164.00","2,106,766.39","2,106,766.39","Industrials","SE0000108227","Nasdaq Omx Nordic","Sweden","SEK"
"WG.","WOOD GROUP (JOHN) PLC","Equity","0.36","8.34","251,155.00","2,094,302.68","2,094,302.68","Energy","GB00B5N0P849","London Stock Exchange","United Kingdom","GBP"
"MONC","MONCLER","Equity","0.36","31.14","66,885.00","2,082,798.90","2,082,798.90","Consumer Discretionary","IT0004965148","Borsa Italiana","Italy","EUR"
"CCH","COCA COLA HBC AG","Equity","0.35","26.95","74,628.00","2,011,421.47","2,011,421.47","Consumer Staples","CH0198251305","London Stock Exchange","United Kingdom","GBP"
"EXO","EXOR NV","Equity","0.35","50.30","39,918.00","2,007,875.40","2,007,875.40","Financials","NL0012059018","Borsa Italiana","Italy","EUR"
"UU.","UNITED UTILITIES GROUP PLC","Equity","0.35","7.92","251,241.00","1,990,268.81","1,990,268.81","Utilities","GB00B39J2M42","London Stock Exchange","United Kingdom","GBP"
"SKA B","SKANSKA B","Equity","0.35","15.72","126,532.00","1,989,090.44","1,989,090.44","Industrials","SE0000113250","Nasdaq Omx Nordic","Sweden","SEK"
"ADP","AEROPORTS DE PARIS","Equity","0.34","182.80","10,848.00","1,983,014.40","1,983,014.40","Industrials","FR0010340141","Nyse Euronext - Euronext Paris","France","EUR"
"ELISA","ELISA","Equity","0.34","37.19","52,923.00","1,968,206.37","1,968,206.37","Communication","FI0009007884","Nasdaq Omx Helsinki Ltd.","Finland","EUR"
"MKS","MARKS AND SPENCER GROUP PLC","Equity","0.34","3.24","607,322.00","1,966,208.75","1,966,208.75","Consumer Discretionary","GB0031274896","London Stock Exchange","United Kingdom","GBP"
"SPSN","SWISS PRIME SITE AG","Equity","0.34","69.78","28,091.00","1,960,104.62","1,960,104.62","Real Estate","CH0008038389","SIX Swiss Exchange","Switzerland","CHF"
"BKT","BANKINTER SA","Equity","0.34","7.85","248,329.00","1,949,382.65","1,949,382.65","Financials","ES0113679I37","Bolsa De Madrid","Spain","EUR"
"UN01","UNIPER","Equity","0.34","26.15","74,460.00","1,947,129.00","1,947,129.00","Utilities","DE000UNSE018","Xetra","Germany","EUR"
"RAND","RANDSTAD HOLDING","Equity","0.34","43.75","44,302.00","1,938,212.50","1,938,212.50","Industrials","NL0000379121","Euronext Amsterdam","Netherlands","EUR"
"BVI","BUREAU VERITAS SA","Equity","0.33","19.45","98,637.00","1,917,996.47","1,917,996.47","Industrials","FR0006174348","Nyse Euronext - Euronext Paris","France","EUR"
"LUPE","LUNDIN PETROLEUM","Equity","0.33","27.78","69,007.00","1,916,859.55","1,916,859.55","Energy","SE0000825820","Nasdaq Omx Nordic","Sweden","SEK"
"DLG","DIRECT LINE INSURANCE PLC","Equity","0.33","3.69","514,351.00","1,896,657.12","1,896,657.12","Financials","GB00BY9D0Y18","London Stock Exchange","United Kingdom","GBP"
"LXS","LANXESS AG","Equity","0.32","57.98","32,031.00","1,857,157.38","1,857,157.38","Materials","DE0005470405","Xetra","Germany","EUR"
"SVT","SEVERN TRENT PLC","Equity","0.32","21.01","87,822.00","1,845,306.54","1,845,306.54","Utilities","GB00B1FH8J72","London Stock Exchange","United Kingdom","GBP"
"GET","GETLINK","Equity","0.32","10.62","173,632.00","1,843,103.68","1,843,103.68","Industrials","FR0010533075","Nyse Euronext - Euronext Paris","France","EUR"
"ISS","ISS A S","Equity","0.32","29.97","61,275.00","1,836,439.40","1,836,439.40","Industrials","DK0060542181","Omx Nordic Exchange Copenhagen A/S","Denmark","DKK"
"PSM","PROSIEBEN SAT.1 MEDIA N","Equity","0.32","21.07","86,808.00","1,829,044.56","1,829,044.56","Communication","DE000PSM7770","Xetra","Germany","EUR"
"MB","MEDIOBANCA BANCA DI CREDITO FINANZ","Equity","0.31","7.72","233,391.00","1,801,311.74","1,801,311.74","Financials","IT0000062957","Borsa Italiana","Italy","EUR"
"SEV","SUEZ SA","Equity","0.31","12.89","139,720.00","1,800,990.80","1,800,990.80","Utilities","FR0010613471","Nyse Euronext - Euronext Paris","France","EUR"
"ERF","EUROFINS SCIENTIFIC","Equity","0.31","422.60","4,244.00","1,793,514.40","1,793,514.40","Health Care","FR0000038259","Nyse Euronext - Euronext Paris","France","EUR"
"BKG","BERKELEY GROUP HOLDINGS (THE) PLC","Equity","0.31","37.68","46,743.00","1,761,443.11","1,761,443.11","Consumer Discretionary","GB00B02L3W35","London Stock Exchange","United Kingdom","GBP"
"MGGT","MEGGITT PLC","Equity","0.30","6.05","287,178.00","1,737,129.62","1,737,129.62","Industrials","GB0005758098","London Stock Exchange","United Kingdom","GBP"
