"Fund Holdings as of,""17/Oct/2018"""
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Country,Market Currency
"POM,""COMPAGNIIE PLASTIC OMNIUM SA"",""Equity"",""0.35"",""27.33"",""103,714.00"",""2,834,503.62"",""2,834,503.62"",""Consumer Discretionary"",""FR0000124570"",""Nyse Euronext - Euronext Paris"",""France"",""EUR"""
"PBB,""DEUTSCHE PFANDBRIEFBANK AG"",""Equity"",""0.34"",""12.44"",""225,847.00"",""2,809,536.68"",""2,809,536.68"",""Financials"",""DE0008019001"",""Xetra"",""Germany"",""EUR"""
"CRBN,""CORBION NV NV"",""Equity"",""0.34"",""27.66"",""100,956.00"",""2,792,442.96"",""2,792,442.96"",""Materials"",""NL0010583399"",""Euronext Amsterdam"",""Netherlands"",""EUR"""
"CIE,""CIE AUTOMOTIVE SA"",""Equity"",""0.34"",""22.90"",""121,330.00"",""2,778,457.00"",""2,778,457.00"",""Consumer Discretionary"",""ES0105630315"",""Bolsa De Madrid"",""Spain"",""EUR"""
"DLG,""DIALOG SEMICON PLC"",""Equity"",""0.34"",""21.64"",""128,296.00"",""2,776,325.44"",""2,776,325.44"",""Information Technology"",""GB0059822006"",""Xetra"",""Germany"",""EUR"""
"KORI,""KORIAN SA"",""Equity"",""0.34"",""33.98"",""81,574.00"",""2,771,884.52"",""2,771,884.52"",""Health Care"",""FR0010386334"",""Nyse Euronext - Euronext Paris"",""France"",""EUR"""
"DUE,""DUERR AG"",""Equity"",""0.33"",""30.00"",""89,025.00"",""2,670,750.00"",""2,670,750.00"",""Industrials"",""DE0005565204"",""Xetra"",""Germany"",""EUR"""
"SZG,""SALZGITTER AG"",""Equity"",""0.33"",""40.61"",""65,661.00"",""2,666,493.21"",""2,666,493.21"",""Materials"",""DE0006202005"",""Xetra"",""Germany"",""EUR"""
"BG,""BAWAG GROUP AG"",""Equity"",""0.32"",""39.28"",""67,190.00"",""2,639,223.20"",""2,639,223.20"",""Financials"",""AT0000BAWAG2"",""Wiener Boerse Ag"",""Austria"",""EUR"""
"AF,""AIR FRANCE-KLM SA"",""Equity"",""0.32"",""8.09"",""325,361.00"",""2,632,170.49"",""2,632,170.49"",""Industrials"",""FR0000031122"",""Nyse Euronext - Euronext Paris"",""France"",""EUR"""
"APPS,""APPLUS SERVICES SA"",""Equity"",""0.32"",""12.15"",""216,182.00"",""2,626,611.30"",""2,626,611.30"",""Industrials"",""ES0105022000"",""Bolsa De Madrid"",""Spain"",""EUR"""
"ELI,""ELIA SYSTEM OPERATOR SA"",""Equity"",""0.32"",""57.00"",""46,023.00"",""2,623,311.00"",""2,623,311.00"",""Utilities"",""BE0003822393"",""Nyse Euronext - Euronext Brussels"",""Belgium"",""EUR"""
"CERV,""CERVED INFORMATION SOLUTIONS"",""Equity"",""0.32"",""7.93"",""327,981.00"",""2,602,529.23"",""2,602,529.23"",""Financials"",""IT0005010423"",""Borsa Italiana"",""Italy"",""EUR"""
"STM,""STABILUS SA"",""Equity"",""0.32"",""62.00"",""41,463.00"",""2,570,706.00"",""2,570,706.00"",""Industrials"",""LU1066226637"",""Xetra"",""Germany"",""EUR"""
"INW,""INFRASTRUTTURE WIRELESS ITALIANE"",""Equity"",""0.31"",""6.33"",""404,909.00"",""2,563,073.97"",""2,563,073.97"",""Communication"",""IT0005090300"",""Borsa Italiana"",""Italy"",""EUR"""
"NOEJ,""NORMA GROUP"",""Equity"",""0.31"",""47.74"",""53,526.00"",""2,555,331.24"",""2,555,331.24"",""Industrials"",""DE000A1H8BV3"",""Xetra"",""Germany"",""EUR"""
"BRE,""FRENI BREMBO"",""Equity"",""0.31"",""9.93"",""252,404.00"",""2,506,371.72"",""2,506,371.72"",""Consumer Discretionary"",""IT0005252728"",""Borsa Italiana"",""Italy"",""EUR"""
"METSB,""METSA BOARD CLASS B"",""Equity"",""0.31"",""7.54"",""330,127.00"",""2,487,506.94"",""2,487,506.94"",""Materials"",""FI0009000665"",""Nasdaq Omx Helsinki Ltd."",""Finland"",""EUR"""
"VK,""VALLOUREC SA"",""Equity"",""0.30"",""4.62"",""538,365.00"",""2,485,092.84"",""2,485,092.84"",""Energy"",""FR0000120354"",""Nyse Euronext - Euronext Paris"",""France"",""EUR"""
"CGG,""CGG SA"",""Equity"",""0.30"",""2.21"",""1,123,683.00"",""2,483,339.43"",""2,483,339.43"",""Energy"",""FR0013181864"",""Nyse Euronext - Euronext Paris"",""France"",""EUR"""
"AZM,""AZIMUT HOLDING S.P.A."",""Equity"",""0.30"",""12.07"",""203,438.00"",""2,455,496.66"",""2,455,496.66"",""Financials"",""IT0003261697"",""Borsa Italiana"",""Italy"",""EUR"""
"GCO,""GRUPO CATALANA OCCIDENTE S.A."",""Equity"",""0.30"",""34.65"",""70,839.00"",""2,454,571.35"",""2,454,571.35"",""Financials"",""ES0116920333"",""Bolsa De Madrid"",""Spain"",""EUR"""
"BPE,""BPER BANCA"",""Equity"",""0.30"",""3.57"",""687,035.00"",""2,454,089.02"",""2,454,089.02"",""Financials"",""IT0000066123"",""Borsa Italiana"",""Italy"",""EUR"""
"ALD,""ALD SA"",""Equity"",""0.30"",""14.25"",""170,407.00"",""2,428,299.75"",""2,428,299.75"",""Industrials"",""FR0013258662"",""Nyse Euronext - Euronext Paris"",""France"",""EUR"""
"ADJ,""ADO PROPERTIES"",""Equity"",""0.30"",""50.15"",""48,365.00"",""2,425,504.75"",""2,425,504.75"",""Real Estate"",""LU1250154413"",""Xetra"",""Germany"",""EUR"""
"JEN,""JENOPTIK N AG"",""Equity"",""0.30"",""27.90"",""86,511.00"",""2,413,656.90"",""2,413,656.90"",""Information Technology"",""DE000A2NB601"",""Xetra"",""Germany"",""EUR"""
"CGCBV,""CARGOTEC OYJ"",""Equity"",""0.29"",""36.82"",""65,157.00"",""2,399,080.74"",""2,399,080.74"",""Industrials"",""FI0009013429"",""Nasdaq Omx Helsinki Ltd."",""Finland"",""EUR"""
"OUT1V,""OUTOKUMPU"",""Equity"",""0.29"",""4.55"",""526,847.00"",""2,395,573.31"",""2,395,573.31"",""Materials"",""FI0009002422"",""Nasdaq Omx Helsinki Ltd."",""Finland"",""EUR"""
"AED,""AEDIFICA REIT SA"",""Equity"",""0.29"",""79.00"",""30,197.00"",""2,385,563.00"",""2,385,563.00"",""Real Estate"",""BE0003851681"",""Nyse Euronext - Euronext Brussels"",""Belgium"",""EUR"""
"BESI,""BE SEMICONDUCTOR INDUSTRIES NV"",""Equity"",""0.29"",""18.64"",""127,758.00"",""2,381,409.12"",""2,381,409.12"",""Information Technology"",""NL0012866412"",""Euronext Amsterdam"",""Netherlands"",""EUR"""
"BMED,""BANCA MEDIOLANUM"",""Equity"",""0.29"",""5.43"",""437,086.00"",""2,373,376.98"",""2,373,376.98"",""Financials"",""IT0004776628"",""Borsa Italiana"",""Italy"",""EUR"""
"JUN3,""JUNGHEINRICH PREF AG"",""Equity"",""0.29"",""29.28"",""80,763.00"",""2,364,740.64"",""2,364,740.64"",""Industrials"",""DE0006219934"",""Xetra"",""Germany"",""EUR"""
"TIETO,""TIETO"",""Equity"",""0.29"",""25.20"",""93,771.00"",""2,363,029.20"",""2,363,029.20"",""Information Technology"",""FI0009000277"",""Nasdaq Omx Helsinki Ltd."",""Finland"",""EUR"""
"UNI,""UNIPOL GRUPPO FINANZIARIO"",""Equity"",""0.29"",""3.53"",""666,853.00"",""2,353,324.24"",""2,353,324.24"",""Financials"",""IT0004810054"",""Borsa Italiana"",""Italy"",""EUR"""
"ECMPA,""EUROCOMMERCIAL PROPERTIES DUTCH CE"",""Equity"",""0.29"",""31.02"",""74,915.00"",""2,323,863.30"",""2,323,863.30"",""Real Estate"",""NL0000288876"",""Euronext Amsterdam"",""Netherlands"",""EUR"""
"KRN,""KRONES AG"",""Equity"",""0.28"",""86.90"",""26,561.00"",""2,308,150.90"",""2,308,150.90"",""Industrials"",""DE0006335003"",""Xetra"",""Germany"",""EUR"""
"ELIOR,""ELIOR GROUP SA"",""Equity"",""0.28"",""11.92"",""192,953.00"",""2,299,999.76"",""2,299,999.76"",""Consumer Discretionary"",""FR0011950732"",""Nyse Euronext - Euronext Paris"",""France"",""EUR"""
"DEQ,""DEUTSCHE EUROSHOP AG"",""Equity"",""0.28"",""27.48"",""83,559.00"",""2,296,201.32"",""2,296,201.32"",""Real Estate"",""DE0007480204"",""Xetra"",""Germany"",""EUR"""
"BPSO,""BANCA POPOLARE DI SONDRIO"",""Equity"",""0.28"",""2.98"",""771,355.00"",""2,295,552.48"",""2,295,552.48"",""Financials"",""IT0000784196"",""Borsa Italiana"",""Italy"",""EUR"""
"MAS,""MASMOVIL IBERCOM SA"",""Equity"",""0.28"",""109.60"",""20,835.00"",""2,283,516.00"",""2,283,516.00"",""Communication"",""ES0184696013"",""Bolsa De Madrid"",""Spain"",""EUR"""
