Fund Holdings as of,"17/Oct/2018"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Country,Market Currency
"HUBS","HUBSPOT INC","Equity","0.15","137.11","6,912.00","947,704.32","947,704.32","Information Technology","US4435731009","New York Stock Exchange Inc.","United States","USD"
"MPW","MEDICAL PROPERTIES TRUST REIT INC","Equity","0.15","14.59","64,878.00","946,570.02","946,570.02","Real Estate","US58463J3041","New York Stock Exchange Inc.","United States","USD"
"EPR","EPR PROPERTIES REIT","Equity","0.15","68.20","13,852.00","944,706.40","944,706.40","Real Estate","US26884U1097","New York Stock Exchange Inc.","United States","USD"
"GWR","GENESEE & WYOMING INC CLASS A","Equity","0.15","84.81","11,097.00","941,136.57","941,136.57","Industrials","US3715591059","New York Stock Exchange Inc.","United States","USD"
"ATHN","ATHENAHEALTH INC","Equity","0.15","125.64","7,486.00","940,541.04","940,541.04","Health Care","US04685W1036","NASDAQ","United States","USD"
"STOR","STORE CAPITAL CORP","Equity","0.15","28.37","33,023.00","936,862.51","936,862.51","Real Estate","US8621211007","New York Stock Exchange Inc.","United States","USD"
"TWLO","TWILIO INC CLASS A","Equity","0.14","74.01","12,594.00","932,081.94","932,081.94","Information Technology","US90138F1021","New York Stock Exchange Inc.","United States","USD"
"CHE","CHEMED CORP","Equity","0.14","312.98","2,962.00","927,046.76","927,046.76","Health Care","US16359R1032","New York Stock Exchange Inc.","United States","USD"
"ACM","AECOM","Equity","0.14","31.55","29,297.00","924,320.35","924,320.35","Industrials","US00766T1007","New York Stock Exchange Inc.","United States","USD"
"SON","SONOCO PRODUCTS","Equity","0.14","52.75","17,515.00","923,916.25","923,916.25","Materials","US8354951027","New York Stock Exchange Inc.","United States","USD"
"PBF","PBF ENERGY INC CLASS A","Equity","0.14","49.03","18,819.00","922,695.57","922,695.57","Energy","US69318G1067","New York Stock Exchange Inc.","United States","USD"
"HUN","HUNTSMAN CORP","Equity","0.14","23.59","38,915.00","918,004.85","918,004.85","Materials","US4470111075","New York Stock Exchange Inc.","United States","USD"
"CUBE","CUBESMART REIT","Equity","0.14","27.92","32,863.00","917,534.96","917,534.96","Real Estate","US2296631094","New York Stock Exchange Inc.","United States","USD"
"BPOP","POPULAR INC","Equity","0.14","50.02","18,280.00","914,365.60","914,365.60","Financials","PR7331747001","NASDAQ","United States","USD"
"IDA","IDACORP INC","Equity","0.14","96.91","9,434.00","914,248.94","914,248.94","Utilities","US4511071064","New York Stock Exchange Inc.","United States","USD"
"SNV","SYNOVUS FINANCIAL CORP","Equity","0.14","43.11","21,169.00","912,595.59","912,595.59","Financials","US87161C5013","New York Stock Exchange Inc.","United States","USD"
"WSM","WILLIAMS SONOMA INC","Equity","0.14","61.40","14,862.00","912,526.80","912,526.80","Consumer Discretionary","US9699041011","New York Stock Exchange Inc.","United States","USD"
"CW","CURTISS WRIGHT CORP","Equity","0.14","122.12","7,467.00","911,870.04","911,870.04","Industrials","US2315611010","New York Stock Exchange Inc.","United States","USD"
"MTG","MGIC INVESTMENT CORP","Equity","0.14","12.99","69,959.00","908,767.41","908,767.41","Financials","US5528481030","New York Stock Exchange Inc.","United States","USD"
"OLLI","OLLIES BARGAIN OUTLET HOLDINGS INC","Equity","0.14","91.59","9,901.00","906,832.59","906,832.59","Consumer Discretionary","US6811161099","NASDAQ","United States","USD"
"WH","WYNDHAM HOTELS RESORTS INC","Equity","0.14","51.05","17,741.00","905,678.05","905,678.05","Consumer Discretionary","US98311A1051","New York Stock Exchange Inc.","United States","USD"
"NUAN","NUANCE COMMUNICATIONS INC","Equity","0.14","17.51","51,479.00","901,397.29","901,397.29","Information Technology","US67020Y1001","NASDAQ","United States","USD"
"PWR","QUANTA SERVICES INC","Equity","0.14","32.58","27,536.00","897,122.88","897,122.88","Industrials","US74762E1029","New York Stock Exchange Inc.","United States","USD"
"HPP","HUDSON PACIFIC PROPERTIES REIT INC","Equity","0.14","31.57","28,406.00","896,777.42","896,777.42","Real Estate","US4440971095","New York Stock Exchange Inc.","United States","USD"
"EXEL","EXELIXIS INC","Equity","0.14","17.01","52,633.00","895,287.33","895,287.33","Health Care","US30161Q1040","NASDAQ","United States","USD"
"FHN","FIRST HORIZON NATIONAL CORP","Equity","0.14","16.14","55,466.00","895,221.24","895,221.24","Financials","US3205171057","New York Stock Exchange Inc.","United States","USD"
"OLED","UNIVERSAL DISPLAY CORP","Equity","0.14","118.32","7,554.00","893,789.28","893,789.28","Information Technology","US91347P1057","NASDAQ","United States","USD"
"WTFC","WINTRUST FINANCIAL CORP","Equity","0.14","83.82","10,603.00","888,743.46","888,743.46","Financials","US97650W1080","NASDAQ","United States","USD"
"CY","CYPRESS SEMICONDUCTOR CORP","Equity","0.14","13.88","63,652.00","883,489.76","883,489.76","Information Technology","US2328061096","NASDAQ","United States","USD"
"HIW","HIGHWOODS PROPERTIES REIT INC","Equity","0.14","45.07","19,572.00","882,110.04","882,110.04","Real Estate","US4312841087","New York Stock Exchange Inc.","United States","USD"
"CASY","CASEYS GENERAL STORES INC","Equity","0.14","129.09","6,829.00","881,555.61","881,555.61","Consumer Staples","US1475281036","NASDAQ","United States","USD"
"X","US STEEL CORP CORP","Equity","0.14","28.19","31,261.00","881,247.59","881,247.59","Materials","US9129091081","New York Stock Exchange Inc.","United States","USD"
"HQY","HEALTHEQUITY INC","Equity","0.14","86.44","10,160.00","878,230.40","878,230.40","Health Care","US42226A1079","NASDAQ","United States","USD"
"THG","HANOVER INSURANCE GROUP INC","Equity","0.14","113.61","7,697.00","874,456.17","874,456.17","Financials","US4108671052","New York Stock Exchange Inc.","United States","USD"
"CACC","CREDIT ACCEPTANCE CORP","Equity","0.14","420.27","2,071.00","870,379.17","870,379.17","Financials","US2253101016","NASDAQ","United States","USD"
"SIX","SIX FLAGS ENTERTAINMENT CORP","Equity","0.14","68.58","12,682.00","869,731.56","869,731.56","Consumer Discretionary","US83001A1025","New York Stock Exchange Inc.","United States","USD"
"TRN","TRINITY INDUSTRIES INC","Equity","0.14","36.34","23,901.00","868,562.34","868,562.34","Industrials","US8965221091","New York Stock Exchange Inc.","United States","USD"
"NTNX","NUTANIX INC CLASS A","Equity","0.13","42.29","20,385.00","862,081.65","862,081.65","Information Technology","US67059N1081","NASDAQ","United States","USD"
"BRX","BRIXMOR PROPERTY GROUP REIT INC","Equity","0.13","15.78","54,288.00","856,664.64","856,664.64","Real Estate","US11120U1051","New York Stock Exchange Inc.","United States","USD"
"IART","INTEGRA LIFESCIENCES HOLDINGS CORP","Equity","0.13","63.67","13,436.00","855,470.12","855,470.12","Health Care","US4579852082","NASDAQ","United States","USD"
"ASH","ASHLAND GLOBAL INC","Equity","0.13","75.65","11,297.00","854,618.05","854,618.05","Materials","US0441861046","New York Stock Exchange Inc.","United States","USD"
